GeneFamily,Sample,Value
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,24.1148781925
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,44.5664380792
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,34.8046996169
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,55.3422255362
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,51.692088810600005
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,50.205370794
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,19.9950828687
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,23.4542533323
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,38.3234561877
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,82.9050258928
UniRef90_A0A062WY56|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,29.9826524292
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,46.4502213525
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,24.3312764185
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,60.8458708528
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,39.9115283422
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,61.805583749600004
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,36.3159590446
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,32.027318456799996
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,40.5162489292
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,79.6509050512
UniRef90_A0A062WY62|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,16.1533297895
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,51.50464630770001
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,43.209594586499996
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,22.4412308112
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,39.7295488053
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,17.733540193699998
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,22.5297949604
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,34.1635847687
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,21.9398994956
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,48.207434916000004
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,73.6664427828
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,GeneFamily,UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,20.4211648996
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,32.1476868133
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,17.9767181587
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,22.8320001923
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,19.5513031524
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,9.6338593251
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,22.0895584483
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,8.3151901607
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,18.363460485
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,13.302849131099999
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,49.5052017719
UniRef90_A0A062WY76|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,61.733366528299996
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,24.276331679800002
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,63.2782436941
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,130.69213001149998
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,98.1997460181
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,11.3636363636
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,28.6703239289
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,72.6365063646
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,11.494252873599999
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,220.1568813048
UniRef90_A0A062WY97|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis
UniRef90_A0A062WYC7|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,41.687998999499996
