GeneFamily,Sample,Value,Condition
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,28.716944331399997,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,24.649404012199998,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,16.4244586819,Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,18.7415105506,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,25.707842812600003,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,17.2430494253,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,9.4240475196,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,21.115765632000002,No-Monarch
UniRef90_A0A062X7I2|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,55.4294782388,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,68.31696120470001,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,38.9827002938,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,56.6499641913,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,124.39491939370001,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,41.8938463864,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,48.406307095699994,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,31.9115771012,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,70.74547568359999,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,109.7268226253,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,18.8412798891,Monarch
UniRef90_A0A062X7J8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0,Monarch
